currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,effectiveEndDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName
USD,0,0.40403000000000006,0.40403000000000006,eastus,US East,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,18cad0ee-e240-59aa-9e4e-8dfa5c049852,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/002P,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.809852,0.809852,francecentral,FR Central,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,27bef1e5-1dc2-546f-ba7c-7c4451b5575a,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/0099,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.385665,0.385665,westus3,US West 3,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,2d3c78f3-21e1-51d0-8f81-bce5e3d0cf58,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/001Q,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.564224,0.564224,canadacentral,CA Central,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,2e1b53f7-81d2-58c8-a32b-217c5954c86e,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/008N,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.5921000000000001,0.5921000000000001,southeastasia,AP Southeast,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,3cdf946f-49f5-5541-99bd-a3f645ba188b,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/002C,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.8403200000000001,0.8403200000000001,switzerlandnorth,CH North,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,5aface61-807f-5c9b-a37e-914dabbc536b,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/009X,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.6118300000000001,0.6118300000000001,northeurope,EU North,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,5ed4107e-814e-54f3-94b3-273a4986719c,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/0008,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.969325,0.969325,germanywestcentral,DE West Central,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,70b063fc-a12c-5f2d-8f1e-21fde6d6b9b2,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/008S,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.558421,0.558421,centralindia,IN Central,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,76fa8c7d-6758-5663-ba72-14871a73cfcc,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/004V,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
USD,0,0.889736,0.889736,uksouth,UK South,2024-04-01T00:00:00Z,2024-04-30T23:59:00Z,815ea81b-655a-57d6-8260-98c34d4b0ff4,NC24ads_A100_v4 Spot,DZH318Z09TGJ,DZH318Z09TGJ/002B,NCads A100 v4 Series Linux,Standard_NC24ads_A100_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24ads_A100_v4
